Signal Name,P_fp,R_freq,I_suppress,Occurrences,Confidence,Score,Severity,Technique,Recommendation
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Suspicious Remote Desktop Network Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,4,Medium,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Suspicious Remote Desktop Network Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,4,Medium,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Suspicious Remote Desktop Network Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,4,Medium,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Clients Connecting to Multiple DNS Servers,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Fallback Channels,Monitor - No immediate tuning required
Suspicious Remote Desktop Network Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,4,Medium,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Suspicious Remote Desktop Network Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,4,Medium,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Suspicious Remote Desktop Network Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,4,Medium,Remote Services,Monitor - No immediate tuning required
Clients Connecting to Multiple DNS Servers,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Fallback Channels,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Clients Connecting to Multiple DNS Servers,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Fallback Channels,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
Telnet Port Activity,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,3,Low,Remote Services,Monitor - No immediate tuning required
Trend-Micro Agent Removed,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Impair Defenses,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
New Source IP Access to Hikvision Endpoint,0.0,6.944444444444444e-05,0.15267175572519084,6,Medium,5,Medium,Active Scanning,Monitor - No immediate tuning required
SMTP to the Internet,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,5,Medium,Exfiltration Over Alternative Protocol,Monitor - No immediate tuning required
SMTP to the Internet,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,5,Medium,Exfiltration Over Alternative Protocol,Monitor - No immediate tuning required
SMTP to the Internet,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,5,Medium,Exfiltration Over Alternative Protocol,Monitor - No immediate tuning required
SMTP to the Internet,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,5,Medium,Exfiltration Over Alternative Protocol,Monitor - No immediate tuning required
SMTP to the Internet,0.0,6.944444444444444e-05,0.15267175572519084,6,Low,5,Medium,Exfiltration Over Alternative Protocol,Monitor - No immediate tuning required
